owner,name,status,license_path,license_name,download_url,saved_path,detail
Genymobile,scrcpy,saved,LICENSE,Apache License 2.0,https://raw.githubusercontent.com/Genymobile/scrcpy/master/LICENSE,/home/alex/code/machineconfig/.ai/repos/scrcpy/LICENSE,
antonmedv,fx,saved,LICENSE,MIT License,https://raw.githubusercontent.com/antonmedv/fx/master/LICENSE,/home/alex/code/machineconfig/.ai/repos/fx/LICENSE,
jqlang,jq,license_not_found,,Other,,,no_root_license_match
ImageMagick,ImageMagick,saved,LICENSE,Other,https://raw.githubusercontent.com/ImageMagick/ImageMagick/main/LICENSE,/home/alex/code/machineconfig/.ai/repos/ImageMagick/LICENSE,
doronbehar,pistol,saved,LICENSE,MIT License,https://raw.githubusercontent.com/doronbehar/pistol/master/LICENSE,/home/alex/code/machineconfig/.ai/repos/pistol/LICENSE,
imsnif,diskonaut,saved,LICENSE,MIT License,https://raw.githubusercontent.com/imsnif/diskonaut/main/LICENSE,/home/alex/code/machineconfig/.ai/repos/diskonaut/LICENSE,
sayanarijit,xplr,saved,LICENSE,MIT License,https://raw.githubusercontent.com/sayanarijit/xplr/main/LICENSE,/home/alex/code/machineconfig/.ai/repos/xplr/LICENSE,
aristocratos,btop,saved,LICENSE,Apache License 2.0,https://raw.githubusercontent.com/aristocratos/btop/main/LICENSE,/home/alex/code/machineconfig/.ai/repos/btop/LICENSE,
sorenisanerd,gotty,saved,LICENSE,MIT License,https://raw.githubusercontent.com/sorenisanerd/gotty/master/LICENSE,/home/alex/code/machineconfig/.ai/repos/gotty/LICENSE,
kamiyaa,joshuto,saved,LICENSE,GNU Lesser General Public License v3.0,https://raw.githubusercontent.com/kamiyaa/joshuto/main/LICENSE,/home/alex/code/machineconfig/.ai/repos/joshuto/LICENSE,
pvolok,mprocs,saved,LICENSE,MIT License,https://raw.githubusercontent.com/pvolok/mprocs/master/LICENSE,/home/alex/code/machineconfig/.ai/repos/mprocs/LICENSE,
F1bonacc1,process-compose,saved,LICENSE,Apache License 2.0,https://raw.githubusercontent.com/F1bonacc1/process-compose/main/LICENSE,/home/alex/code/machineconfig/.ai/repos/process-compose/LICENSE,
