,app,version,positive_pct,url
0,bat,v0.22.1,0.0,https:/drive.google.com/open?id=14L9n8b-nxJ-PvWyCF3ZPgdtJatOj8ZwV
1,broot,v1.19.0,0.0,https:/drive.google.com/open?id=1jBUTnc4UE-vS61JUHUtuv1Rgh8zsfBnd
2,delta,0.15.1,0.0,https:/drive.google.com/open?id=1I2pV2GKOsiCetJeXNYqNoeKyoeqD71CW
3,dua,v2.19.0,0.0,https:/drive.google.com/open?id=1kT-CCH-V0ivsAUc6ovHm0OAw8JKGrQ0d
4,fd,v8.6.0,0.0,https:/drive.google.com/open?id=1FpZ-5pVPma6ZmDINASyefOfIJrwDs2rZ
5,fzf,0.37.0,4.054054054054054,
6,gitui,v0.22.1,0.0,https:/drive.google.com/open?id=1dTT4JUqMkXJYcRAfUPQ73TRAQsVOD8bc
7,gopass,1.15.3,0.0,https:/drive.google.com/open?id=1EpxqO4EzDbQyj9S3D3UvLy1brmaY5-ye
8,kondo,v0.5,0.0,https:/drive.google.com/open?id=19d2AAp_k1_0t20VnU5BP8IOxFbDGA6-U
9,lf,r28,1.351351351351351,https:/drive.google.com/open?id=139E_jS9BsiZ9tHVuiMroTQTi_O9mEJlV
10,ots,v0.2.0,2.702702702702702,https:/drive.google.com/open?id=1yw1QzRYmjqCR9eOp1-k7wl9bZHR-WBFY
11,procs,v0.13.3,0.0,https:/drive.google.com/open?id=1tfvL_5gnHC-bfz73OTsJxssq2AOOuYwA
12,qrcp,0.9.1,0.0,https:/drive.google.com/open?id=1li_7Yv7EQjobxkN8MBRbcKrDHs_O8TVv
13,qrscan,0.1.7,0.0,https:/drive.google.com/open?id=1gXzxfT70hZ9RQB3sZfnN_H4t91Bz8Ksj
14,rclone,v1.61.1,0.0,https:/drive.google.com/open?id=1CRxPTXIGKLnQxY7BPE7jvWCIZ-7GHqFM
15,tere,1.4.0,0.0,https:/drive.google.com/open?id=1DoGhE8G-X54T1Vcf-8AhToceHXQfMafE
16,termscp,v0.10.0,0.0,https:/drive.google.com/open?id=1kCikJYkOW4uWCnBu3G3v9a1rhuvFoWkA
17,tokei,v12.1.2,0.0,https:/drive.google.com/open?id=1os9iZBsEtPEs4dr7Aci68ZpgbiknRhue
18,ugrep,v3.9.6,0.0,https:/drive.google.com/open?id=1qGuxIbH0dCJG0PFzwQhAPEpDGWZyNGDG
19,watchexec,1.21.0,0.0,https:/drive.google.com/open?id=1vmE11pbIFrpxZ9ZZV8JNShbG2P1jcMzx
